itemId,fieldId,subjectId,source,overallScore,vignetteQuality,highYieldValue,distractors,correctAnswerExplanation,integrationThinking,overallPolish,platformFit,polishScore,examReady,difficultySuggestion,topIssues,recommendations,tagsSuggestion,testedConcepts
cmpnjhj4z004d1ymx5jawgagx,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj4z004e1ymxkywmx3er,usmle-step-1,anatomy,polished,7.9,8.2,6,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 6/10).,usmle-polished; diagnosis; anatomy,diagnosis; anatomy; diagnosis; anatomy
cmpnjhj4z004f1ymxa0rqb572,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004g1ymx2msiullc,usmle-step-1,anatomy,polished,7.8,9,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004h1ymx3bt9ty1k,usmle-step-1,anatomy,polished,7.5,8.2,4,9.5,9,7,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004j1ymxnckgun5v,usmle-step-1,anatomy,polished,7.4,8.7,4,9.5,9,6.5,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhj4z004k1ymx7st1rgv7,usmle-step-1,anatomy,polished,7.7,8.7,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004l1ymx9dzil8w9,usmle-step-1,anatomy,polished,7.8,8.2,4,9.5,9,9.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004m1ymx614d9drs,usmle-step-1,anatomy,polished,7.7,8.7,4,9.5,9,8.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004n1ymx7tpflomh,usmle-step-1,anatomy,polished,7.5,8.2,4,9.5,9,8,6.5,7.5,1.000,no,Medium,vignette_validation:warn|stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhj4z004o1ymx1ax6nkjf,usmle-step-1,anatomy,polished,7.6,10,4,9.5,9,6.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj4z004p1ymxejph43ua,usmle-step-1,anatomy,polished,7.5,8.7,4,9.5,9,6.5,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj4z004q1ymxx44z0fxc,usmle-step-1,anatomy,polished,7.6,9,4,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj4z004s1ymxqh4pxncw,usmle-step-1,anatomy,polished,7.9,10,4,9.5,9,8,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004u1ymx7sz2h7rs,usmle-step-1,anatomy,polished,7.5,9,4,9.5,9,7,6.5,7.5,1.000,no,Medium,stem_lead_in:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; pathophysiology; anatomy,pathophysiology; anatomy
cmpnjhj4z004v1ymxk5o2plf7,usmle-step-1,anatomy,polished,7.7,10,4,9.5,9,7,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
cmpnjhj4z004w1ymxx0wmmzdv,usmle-step-1,anatomy,polished,7.8,9,4,9.5,9,8.5,7,7.5,1.000,no,Medium,,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; mechanism; anatomy,mechanism; anatomy
cmpnjhj4z004x1ymxpan4hd2k,usmle-step-1,anatomy,polished,7.7,9.2,4,9.5,9,8,7,7.5,1.000,no,Medium,vignette_validation:warn,Priority: improve highYieldValue (scored 4/10).,bulk-bank; usmle-polished; diagnosis; anatomy,diagnosis; anatomy
